Voltage, gain
604.7018793888648, 29299.632161073398
614.8302178815234, 33393.373575797625
624.5515903735957, 37765.511993079
634.4266721017801, 42703.40618717302
644.4578934357896, 48317.162227616784
654.6477231730659, 54745.923259536765
662.5485233991534, 59636.91269989958
693.8350933440128, 86851.19538409944
705.4563515590123, 98514.86072295661
716.6106568793227, 111587.67580295548
727.9413282170392, 126128.58445647811
739.4511541790008, 142787.5082091348
751.142967464033, 161482.43727139308
759.507143165813, 175593.0611581075
788.7938058757672, 237334.27025258282
823.7581967006997, 339177.859767964
837.5555770903867, 385215.50534437073
850.7985659853749, 436026.1261037184
864.2509460654609, 492844.37260451587
873.0685604929955, 528045.6799703506
908.2415516719365, 736167.7456974
919.3725860102386, 796560.4124896177
953.0630572683626, 1069994.1042279012
969.0262046933686, 1213517.8972387516
984.347938102734, 1375518.3918534066
999.9119307136883, 1555856.0854378068
1015.7220130014907, 1760112.3265207591
1031.7820760068637, 1990560.8825507287
1048.0960722936215, 2255058.901178704
1064.6680169214424, 2548515.265088888
1081.5019884340197, 2885571.717908366
1094.5543994518378, 3116925.7907336503
